,Path3,Path8,Path14,Path65,Path66
0,8603.63993454,4067.0,12503.6060852,0.0,0.0
1,1551.55997849,4777.0,12824.1920685,0.0,0.0
2,0.0,803.0,7222.82277527,0.0,0.0
3,0.0,16754.0,10801.2952332,0.0,0.0
4,0.0,20845.0,14422.8659729,0.0,0.0
5,0.0,19763.0,11979.9089417,0.0,0.0
6,1477.42006683,14840.0,14438.772467,0.0,0.0
7,0.0,21669.0,21427.2474731,0.0,0.0
8,0.0,20808.0,18859.2568115,0.0,0.0
9,0.0,12241.0,12208.6026367,0.0,0.0
10,0.0,8272.0,6242.05489197,0.0,0.0
11,0.0,8801.0,7735.39798584,0.0,0.0
12,0.0,0.0,12082.2256531,0.0,0.0
13,0.0,8826.0,12002.2942261,0.0,0.0
14,0.0,14172.0,15387.5720581,0.0,0.0
15,0.0,20199.0,12977.9881348,0.0,0.0
16,0.0,15146.6,14061.0293091,0.0,0.0
17,0.0,13267.4,9774.63462524,0.0,0.0
18,0.0,10840.0,4119.50442657,0.0,0.0
19,0.0,11416.2,0.0,0.0,0.0
20,0.0,2476.2,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,577.231947327,0.0,0.0
23,0.0,2648.0,3427.23238831,0.0,0.0
24,0.0,3402.2,0.0,0.0,0.0
25,0.0,7843.2,46.3649795532,0.0,0.0
26,0.0,12828.6,1850.24228821,0.0,0.0
27,0.0,12545.4,9132.02750244,0.0,0.0
28,0.0,4358.4,10034.3023193,0.0,0.0
29,0.0,7289.4,11276.0568665,0.0,0.0
30,0.0,9436.6,7968.25369873,0.0,0.0
31,0.0,3376.8,161.381974411,0.0,0.0
32,0.0,9391.2,0.0,0.0,0.0
33,0.0,15411.8,0.0,0.0,0.0
34,0.0,20858.0,0.0,0.0,0.0
35,0.0,18750.6,1882.07172546,0.0,0.0
36,0.0,19638.6,4313.44419861,0.0,0.0
37,0.0,14864.0,526.002023315,0.0,0.0
38,0.0,7698.0,3352.50049744,0.0,0.0
39,0.0,13208.2,5685.79054565,0.0,0.0
40,0.0,13747.2,12058.8974731,0.0,0.0
41,0.0,8319.0,10952.1238403,0.0,0.0
42,0.0,0.0,7170.46134033,0.0,0.0
43,0.0,0.0,8481.91352234,0.0,0.0
44,0.0,8384.4,15395.14021,0.0,0.0
45,0.0,10476.0,18708.8038574,0.0,0.0
46,0.0,13392.3632324,16038.1322266,0.0,0.0
47,0.0,10549.6,14609.9987793,0.0,0.0
48,0.0,13515.4,12394.5298645,0.0,0.0
49,0.0,0.0,10048.8062134,0.0,0.0
50,0.0,7720.0,18465.5962402,0.0,0.0
51,0.0,10155.0,12175.0470337,0.0,0.0
52,0.0,11303.2,8567.98627319,0.0,0.0
53,0.0,12733.2,8971.89689941,0.0,0.0
54,0.0,10135.2,9764.31181641,0.0,0.0
55,0.0,0.0,8692.22268066,0.0,0.0
56,0.0,4996.87489014,10929.7684326,0.0,0.0
57,0.0,6919.8,12730.4273315,0.0,0.0
58,0.0,15810.8,6569.23729248,0.0,0.0
59,0.0,17597.4,14618.7823486,0.0,0.0
60,0.0,10037.2,14200.1476074,0.0,0.0
61,0.0,12205.2,17689.3220093,0.0,0.0
62,0.0,13022.2,11510.7438965,0.0,0.0
63,0.0,7088.4,10638.4591736,0.0,0.0
64,0.0,4852.6,13732.3168091,0.0,0.0
65,0.0,4617.2,8953.81248779,0.0,0.0
66,0.0,7076.4,2405.3030365,0.0,0.0
67,0.0,8834.4,9799.70397339,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0
69,0.0,9123.8,5375.7597168,0.0,0.0
70,0.0,1556.8,2657.59024353,0.0,0.0
71,0.0,8833.8,9402.15184021,0.0,0.0
72,0.0,10108.2,9510.07934265,0.0,0.0
73,0.0,8538.2,4121.16286011,0.0,0.0
74,0.0,16684.6,10981.379715,0.0,0.0
75,0.0,20120.6,15699.9697235,0.0,0.0
76,0.0,19873.6,17284.4618774,0.0,0.0
77,0.0,22964.2,19718.7293884,0.0,0.0
78,0.0,25305.6,21051.8147278,0.0,0.0
79,0.0,18762.2,8450.65134888,0.0,0.0
80,0.0,14009.2,1181.59551392,0.0,0.0
