,Path3,Path8,Path14,Path65,Path66
0,9302.67999268,8126.166687,20742.3199219,2876.57165527,0.0
1,8829.05993271,10347.0,20013.1547608,0.0,0.0
2,22201.3997192,22079.5,19462.8594117,0.0,0.0
3,17775.3400574,17724.0,14627.2530579,0.0,0.0
4,11812.6000214,18368.5,13038.3475403,0.0,0.0
5,2971.12005234,17531.0,15013.1284546,0.0,0.0
6,17452.2800293,12082.0939941,11268.9211487,0.0,0.0
7,17909.2600708,11740.5,12471.0893616,0.0,0.0
8,17200.3901291,17191.0,14908.7582764,0.0,0.0
9,14981.8799667,18877.5,16569.5955567,1663.18875122,0.0
10,25454.7798157,17908.0,9405.58249515,0.0,0.0
11,17626.3399353,22721.0,8325.37189335,0.0,0.0
12,3498.48003769,23722.0,9862.73193965,0.0,0.0
13,5606.99996948,24976.0,10445.5347046,0.0,0.0
14,16592.9800873,22028.0,11074.1816468,0.0,0.0
15,18499.3999405,23132.0,14345.7361207,0.0,0.0
16,17916.620018,21075.1,15815.2984131,0.0,0.0
17,20226.8598785,20163.066626,14422.0279052,0.0,0.0
18,22273.319622,19603.0,14651.9756714,0.0,0.0
19,14889.3999138,19746.2,16579.946521,0.0,0.0
20,21692.6603241,18459.2,15480.1469238,0.0,0.0
21,18693.380127,19486.8,16141.9540527,0.0,0.0
22,7422.80008698,25467.6,21873.2787232,0.0,0.0
23,14815.8400307,21768.0,24171.167981,0.0,0.0
24,16920.4399338,13820.7,18116.7850586,0.0,0.0
25,9547.98003006,16248.7,13946.2370422,0.0,0.0
26,9567.67993164,17171.6,12499.8367859,0.0,0.0
27,10202.1199417,14998.9,12367.2846741,0.0,0.0
28,7731.34004211,18673.4,14594.315503,0.0,0.0
29,7494.96000671,19593.9,12227.2853211,0.0,0.0
30,2869.41995144,24054.6,22126.2338013,0.0,0.0
31,6821.12001801,22102.8,22110.0560181,0.0,0.0
32,10408.0999756,22742.2,21336.8966919,0.0,0.0
33,8858.12002563,19579.8,18545.5533814,0.0,0.0
34,10299.4799175,16179.0,19943.3957275,0.0,0.0
35,10997.7999535,17427.6,24604.8842407,0.0,0.0
36,13801.1798077,16984.6,19175.4608764,0.0,0.0
37,11165.1398811,15395.0,15961.6362549,0.0,0.0
38,17007.5299644,10554.0,14049.1343628,0.0,0.0
39,20071.9199219,12443.2,11189.8100159,0.0,0.0
40,21092.3200989,17367.2,18982.2385376,0.0,0.0
41,18140.1323242,18630.666626,20166.1454468,0.0,0.0
42,7616.55996323,21649.5,19070.0757813,0.0,0.0
43,10885.259903,23981.6,19010.5185791,0.0,0.0
44,6820.36000633,23530.4,18962.9101074,0.0,0.0
45,12222.4999218,19081.5,13571.2973572,0.0,0.0
46,0.0,23843.8,14135.2589356,0.0,0.0
47,0.0,22598.1,20106.3554077,0.0,0.0
48,0.0,19544.9,14151.4716065,0.0,0.0
49,0.0,19063.6,13600.4577027,0.0,0.0
50,0.0,22427.333374,17215.8197509,0.0,0.0
51,8253.79989243,22142.5,15883.1443848,0.0,0.0
52,11197.3598976,20103.7939941,11294.080542,0.0,0.0
53,10012.2401199,23916.5023682,11694.9285156,0.0,0.0
