,Path3,Path8,Path14,Path65,Path66
0,0.0,0.0,0.0,334.161180248,825.965759697
1,0.0,0.0,0.0,132.549020995,764.731419695
2,0.0,0.0,0.0,13.1097322604,682.717095722
3,0.0,0.0,0.0,19.7569201924,511.732241088
4,0.0,0.0,0.0,26.4041094243,350.824242302
5,0.0,0.0,0.0,33.0512973563,339.148767505
6,0.0,0.0,0.0,39.6984852883,397.866635586
7,0.0,0.0,0.0,46.3456732204,475.335752424
8,0.0,0.0,0.0,53.2399408232,431.417613728
9,0.0,0.0,0.0,56.9600827782,379.218322429
10,0.0,0.0,0.0,62.5902081697,523.833159934
11,0.0,0.0,0.0,63.4137637456,626.842207828
12,0.0,0.0,0.0,63.5385448934,674.388032328
13,0.0,0.0,0.0,63.9078970911,652.099484109
14,0.0,0.0,0.0,63.9191273944,500.07400172
15,0.0,0.0,0.0,60.643622263,440.162474013
16,0.0,0.0,0.0,57.5989622552,347.372745134
17,0.0,0.0,0.0,63.9078970911,579.734608109
18,0.0,0.0,0.0,513.049602402,833.600055317
19,0.0,0.0,0.0,741.852375931,1117.29277394
20,0.0,0.0,0.0,657.681949782,1094.7605687
21,0.0,0.0,0.0,479.890410549,962.767189061
22,0.0,0.0,0.0,343.230595768,865.64597021
23,0.0,0.0,0.0,244.946720194,809.369018279
24,0.0,0.0,0.0,545.239547724,739.619403651
25,0.0,0.0,0.0,216.275775077,627.491561727
26,0.0,0.0,0.0,21.3907087685,716.807062259
27,0.0,0.0,0.0,32.2367015286,615.996106331
28,0.0,0.0,0.0,43.0826964097,496.239471545
29,0.0,0.0,0.0,53.9286891698,499.874832108
30,0.0,0.0,0.0,64.77468193,542.974745669
31,0.0,0.0,0.0,75.6206746902,557.227418691
32,0.0,0.0,0.0,86.8698190309,630.356372801
33,0.0,0.0,0.0,92.939849414,786.769601768
34,0.0,0.0,0.0,102.126335468,946.800366247
35,0.0,0.0,0.0,103.470103375,1108.09559856
36,0.0,0.0,0.0,103.673704573,1167.40189737
37,0.0,0.0,0.0,104.276364119,1078.47921932
38,0.0,0.0,0.0,104.294688227,984.482762735
39,0.0,0.0,0.0,98.950156779,983.05633131
40,0.0,0.0,0.0,93.9822875478,1046.14146153
41,0.0,0.0,0.0,104.276364119,933.257011373
42,0.0,0.0,0.0,837.125763579,1180.45105592
43,0.0,0.0,0.0,1210.45554612,1335.60360229
44,0.0,0.0,0.0,1073.11749551,1301.15556577
45,0.0,0.0,0.0,783.021026591,1262.49359395
46,0.0,0.0,0.0,560.03780769,1126.64569899
47,0.0,0.0,0.0,399.671316804,807.279323707
48,63.5481307531,0.0,0.0,1251.21482491,816.093611084
49,26.2814619696,0.0,0.0,496.309295929,795.675677428
50,21.5321341966,0.0,0.0,49.0873635965,678.622892668
51,25.1718999054,0.0,0.0,73.9767300942,621.192575126
52,37.0728780926,0.0,0.0,98.8661014588,559.299519854
53,63.1045156858,0.0,0.0,123.755467957,617.467805837
54,50.5239607611,0.0,0.0,148.644834454,896.180521313
55,101.647956083,0.0,0.0,173.534200952,884.87990251
56,158.162506569,0.0,0.0,199.348719039,896.476865371
57,129.572871708,0.0,0.0,213.278214863,960.198329959
58,130.589217269,0.0,0.0,234.359348077,1029.07950546
59,106.857877758,0.0,0.0,237.443024478,1117.07587332
60,82.459419622,0.0,0.0,237.910248176,1148.1638758
61,103.924830424,0.0,0.0,239.293230319,1074.92488035
62,138.553096299,0.0,0.0,239.335280452,1025.71535084
63,146.070469013,0.0,0.0,227.070658402,991.928878621
64,155.119890484,0.0,0.0,215.670400192,841.701063499
65,135.150996533,0.0,0.0,239.293230319,775.845747772
66,9.70721017298,0.0,0.0,1921.03483702,1191.91738921
67,74.0297080127,0.0,0.0,2777.75141315,1468.27267539
68,45.9877294877,0.0,0.0,2462.58827859,1612.68506935
69,41.758851686,0.0,0.0,1796.87537482,1467.74402726
70,76.1737336943,0.0,0.0,1285.17384774,1298.89987991
71,96.3586162848,0.0,0.0,917.165085993,1027.50810037
72,841.784879031,0.0,0.0,854.645456441,647.121359012
73,252.492863871,0.0,0.0,339.005322117,650.892029192
74,384.52507325,0.0,0.0,33.5292480806,472.315077251
75,530.142188972,0.0,0.0,50.5299929308,349.082481042
76,649.075060934,0.0,0.0,67.5307411053,399.234319097
77,741.629417444,0.0,0.0,84.5314859555,399.123998343
78,419.466629466,0.0,0.0,101.532230806,585.627528809
79,783.921584511,0.0,0.0,118.532975656,744.639525377
80,1383.15795399,0.0,0.0,136.165647643,898.32176304
81,1462.26918236,0.0,0.0,145.68022506,977.301775896
82,1766.44151321,0.0,0.0,160.079746517,877.475882476
83,1520.38437181,0.0,0.0,162.186059496,889.050175726
84,1207.9821832,0.0,0.0,162.505197826,896.08630162
85,1399.56664265,0.0,0.0,163.449847283,911.515287474
86,1461.82079946,0.0,0.0,163.478569733,914.092252301
87,1534.58546068,0.0,0.0,155.101188566,850.325977392
88,1573.31650919,0.0,0.0,147.31421331,802.729204967
89,1306.07914083,0.0,0.0,163.449847283,817.163724404
90,359.59313341,0.0,0.0,1312.16771289,894.317467571
