,PNW
328,177142.6333
329,142975.8844
330,133668.2228
331,134837.3498
332,181699.4032
333,171468.8233
334,148359.2136
335,152432.8852
336,156963.7841
337,158466.5595
338,134762.9857
339,164896.0778
340,161990.6355
341,157851.2395
342,156324.2252
343,136314.0683
344,144453.7877
345,80973.17927
346,119003.9418
347,131203.3168
348,126398.0237
349,162157.256
350,198506.3147
351,167046.979
352,152595.1512
353,182122.8287
354,170076.3709
355,179357.9682
356,164556.9168
357,142256.4856
358,100831.4723
359,102607.7993
360,167389.5685
361,164465.8639
362,159613.8719
363,192008.2071
364,217376.6453
