,Generator,Time,Value,Zones,Type
96,COYOTE_SPRINGS_2_GEN_1,1,0,PNW,Gas
97,COYOTE_SPRINGS_2_GEN_1,2,0,PNW,Gas
98,COYOTE_SPRINGS_2_GEN_1,3,0,PNW,Gas
99,COYOTE_SPRINGS_2_GEN_1,4,0,PNW,Gas
100,COYOTE_SPRINGS_2_GEN_1,5,0,PNW,Gas
101,COYOTE_SPRINGS_2_GEN_1,6,0,PNW,Gas
102,COYOTE_SPRINGS_2_GEN_1,7,0,PNW,Gas
103,COYOTE_SPRINGS_2_GEN_1,8,0,PNW,Gas
104,COYOTE_SPRINGS_2_GEN_1,9,0,PNW,Gas
105,COYOTE_SPRINGS_2_GEN_1,10,0,PNW,Gas
106,COYOTE_SPRINGS_2_GEN_1,11,0,PNW,Gas
107,COYOTE_SPRINGS_2_GEN_1,12,0,PNW,Gas
108,COYOTE_SPRINGS_2_GEN_1,13,0,PNW,Gas
109,COYOTE_SPRINGS_2_GEN_1,14,0,PNW,Gas
110,COYOTE_SPRINGS_2_GEN_1,15,0,PNW,Gas
111,COYOTE_SPRINGS_2_GEN_1,16,0,PNW,Gas
112,COYOTE_SPRINGS_2_GEN_1,17,0,PNW,Gas
113,COYOTE_SPRINGS_2_GEN_1,18,0,PNW,Gas
114,COYOTE_SPRINGS_2_GEN_1,19,0,PNW,Gas
115,COYOTE_SPRINGS_2_GEN_1,20,0,PNW,Gas
116,COYOTE_SPRINGS_2_GEN_1,21,0,PNW,Gas
117,COYOTE_SPRINGS_2_GEN_1,22,0,PNW,Gas
118,COYOTE_SPRINGS_2_GEN_1,23,0,PNW,Gas
119,COYOTE_SPRINGS_2_GEN_1,24,0,PNW,Gas
120,PORT_WESTWARD_1_GEN_1,1,0,PNW,Gas
121,PORT_WESTWARD_1_GEN_1,2,0,PNW,Gas
122,PORT_WESTWARD_1_GEN_1,3,0,PNW,Gas
123,PORT_WESTWARD_1_GEN_1,4,0,PNW,Gas
124,PORT_WESTWARD_1_GEN_1,5,0,PNW,Gas
125,PORT_WESTWARD_1_GEN_1,6,0,PNW,Gas
126,PORT_WESTWARD_1_GEN_1,7,0,PNW,Gas
127,PORT_WESTWARD_1_GEN_1,8,0,PNW,Gas
128,PORT_WESTWARD_1_GEN_1,9,0,PNW,Gas
129,PORT_WESTWARD_1_GEN_1,10,0,PNW,Gas
130,PORT_WESTWARD_1_GEN_1,11,0,PNW,Gas
131,PORT_WESTWARD_1_GEN_1,12,0,PNW,Gas
132,PORT_WESTWARD_1_GEN_1,13,0,PNW,Gas
133,PORT_WESTWARD_1_GEN_1,14,0,PNW,Gas
134,PORT_WESTWARD_1_GEN_1,15,0,PNW,Gas
135,PORT_WESTWARD_1_GEN_1,16,0,PNW,Gas
136,PORT_WESTWARD_1_GEN_1,17,0,PNW,Gas
137,PORT_WESTWARD_1_GEN_1,18,0,PNW,Gas
138,PORT_WESTWARD_1_GEN_1,19,0,PNW,Gas
139,PORT_WESTWARD_1_GEN_1,20,0,PNW,Gas
140,PORT_WESTWARD_1_GEN_1,21,0,PNW,Gas
141,PORT_WESTWARD_1_GEN_1,22,0,PNW,Gas
142,PORT_WESTWARD_1_GEN_1,23,0,PNW,Gas
143,PORT_WESTWARD_1_GEN_1,24,0,PNW,Gas
144,PORT_WESTWARD_1_GEN_2,1,0,PNW,Gas
145,PORT_WESTWARD_1_GEN_2,2,0,PNW,Gas
146,PORT_WESTWARD_1_GEN_2,3,0,PNW,Gas
147,PORT_WESTWARD_1_GEN_2,4,0,PNW,Gas
148,PORT_WESTWARD_1_GEN_2,5,0,PNW,Gas
149,PORT_WESTWARD_1_GEN_2,6,0,PNW,Gas
150,PORT_WESTWARD_1_GEN_2,7,0,PNW,Gas
151,PORT_WESTWARD_1_GEN_2,8,0,PNW,Gas
152,PORT_WESTWARD_1_GEN_2,9,0,PNW,Gas
153,PORT_WESTWARD_1_GEN_2,10,0,PNW,Gas
154,PORT_WESTWARD_1_GEN_2,11,0,PNW,Gas
155,PORT_WESTWARD_1_GEN_2,12,0,PNW,Gas
156,PORT_WESTWARD_1_GEN_2,13,0,PNW,Gas
157,PORT_WESTWARD_1_GEN_2,14,0,PNW,Gas
158,PORT_WESTWARD_1_GEN_2,15,0,PNW,Gas
159,PORT_WESTWARD_1_GEN_2,16,0,PNW,Gas
160,PORT_WESTWARD_1_GEN_2,17,0,PNW,Gas
161,PORT_WESTWARD_1_GEN_2,18,0,PNW,Gas
162,PORT_WESTWARD_1_GEN_2,19,0,PNW,Gas
163,PORT_WESTWARD_1_GEN_2,20,0,PNW,Gas
164,PORT_WESTWARD_1_GEN_2,21,0,PNW,Gas
165,PORT_WESTWARD_1_GEN_2,22,0,PNW,Gas
166,PORT_WESTWARD_1_GEN_2,23,0,PNW,Gas
167,PORT_WESTWARD_1_GEN_2,24,0,PNW,Gas
168,ALDEN_BAILEY_LOKI,1,0,PNW,Gas
169,ALDEN_BAILEY_LOKI,2,0,PNW,Gas
170,ALDEN_BAILEY_LOKI,3,0,PNW,Gas
171,ALDEN_BAILEY_LOKI,4,0,PNW,Gas
172,ALDEN_BAILEY_LOKI,5,0,PNW,Gas
173,ALDEN_BAILEY_LOKI,6,0,PNW,Gas
174,ALDEN_BAILEY_LOKI,7,0,PNW,Gas
175,ALDEN_BAILEY_LOKI,8,0,PNW,Gas
176,ALDEN_BAILEY_LOKI,9,0,PNW,Gas
177,ALDEN_BAILEY_LOKI,10,0,PNW,Gas
178,ALDEN_BAILEY_LOKI,11,0,PNW,Gas
179,ALDEN_BAILEY_LOKI,12,0,PNW,Gas
180,ALDEN_BAILEY_LOKI,13,0,PNW,Gas
181,ALDEN_BAILEY_LOKI,14,0,PNW,Gas
182,ALDEN_BAILEY_LOKI,15,0,PNW,Gas
183,ALDEN_BAILEY_LOKI,16,0,PNW,Gas
184,ALDEN_BAILEY_LOKI,17,0,PNW,Gas
185,ALDEN_BAILEY_LOKI,18,0,PNW,Gas
186,ALDEN_BAILEY_LOKI,19,0,PNW,Gas
187,ALDEN_BAILEY_LOKI,20,0,PNW,Gas
188,ALDEN_BAILEY_LOKI,21,0,PNW,Gas
189,ALDEN_BAILEY_LOKI,22,0,PNW,Gas
190,ALDEN_BAILEY_LOKI,23,0,PNW,Gas
191,ALDEN_BAILEY_LOKI,24,0,PNW,Gas
192,RATHDRUMPWR_STG1,1,0,PNW,Gas
193,RATHDRUMPWR_STG1,2,0,PNW,Gas
194,RATHDRUMPWR_STG1,3,0,PNW,Gas
195,RATHDRUMPWR_STG1,4,0,PNW,Gas
196,RATHDRUMPWR_STG1,5,0,PNW,Gas
197,RATHDRUMPWR_STG1,6,0,PNW,Gas
198,RATHDRUMPWR_STG1,7,0,PNW,Gas
199,RATHDRUMPWR_STG1,8,0,PNW,Gas
200,RATHDRUMPWR_STG1,9,0,PNW,Gas
201,RATHDRUMPWR_STG1,10,0,PNW,Gas
202,RATHDRUMPWR_STG1,11,0,PNW,Gas
203,RATHDRUMPWR_STG1,12,0,PNW,Gas
204,RATHDRUMPWR_STG1,13,0,PNW,Gas
205,RATHDRUMPWR_STG1,14,0,PNW,Gas
206,RATHDRUMPWR_STG1,15,0,PNW,Gas
207,RATHDRUMPWR_STG1,16,0,PNW,Gas
208,RATHDRUMPWR_STG1,17,0,PNW,Gas
209,RATHDRUMPWR_STG1,18,0,PNW,Gas
210,RATHDRUMPWR_STG1,19,0,PNW,Gas
211,RATHDRUMPWR_STG1,20,0,PNW,Gas
212,RATHDRUMPWR_STG1,21,0,PNW,Gas
213,RATHDRUMPWR_STG1,22,0,PNW,Gas
214,RATHDRUMPWR_STG1,23,0,PNW,Gas
215,RATHDRUMPWR_STG1,24,0,PNW,Gas
216,HERMISTON_4,1,0,PNW,Gas
217,HERMISTON_4,2,0,PNW,Gas
218,HERMISTON_4,3,0,PNW,Gas
219,HERMISTON_4,4,0,PNW,Gas
220,HERMISTON_4,5,0,PNW,Gas
221,HERMISTON_4,6,0,PNW,Gas
222,HERMISTON_4,7,0,PNW,Gas
223,HERMISTON_4,8,0,PNW,Gas
224,HERMISTON_4,9,0,PNW,Gas
225,HERMISTON_4,10,0,PNW,Gas
226,HERMISTON_4,11,0,PNW,Gas
227,HERMISTON_4,12,0,PNW,Gas
228,HERMISTON_4,13,0,PNW,Gas
229,HERMISTON_4,14,0,PNW,Gas
230,HERMISTON_4,15,0,PNW,Gas
231,HERMISTON_4,16,0,PNW,Gas
232,HERMISTON_4,17,0,PNW,Gas
233,HERMISTON_4,18,0,PNW,Gas
234,HERMISTON_4,19,0,PNW,Gas
235,HERMISTON_4,20,0,PNW,Gas
236,HERMISTON_4,21,0,PNW,Gas
237,HERMISTON_4,22,0,PNW,Gas
238,HERMISTON_4,23,0,PNW,Gas
239,HERMISTON_4,24,0,PNW,Gas
240,HERMISTON_3,1,0,PNW,Gas
241,HERMISTON_3,2,0,PNW,Gas
242,HERMISTON_3,3,0,PNW,Gas
243,HERMISTON_3,4,0,PNW,Gas
244,HERMISTON_3,5,0,PNW,Gas
245,HERMISTON_3,6,0,PNW,Gas
246,HERMISTON_3,7,0,PNW,Gas
247,HERMISTON_3,8,0,PNW,Gas
248,HERMISTON_3,9,0,PNW,Gas
249,HERMISTON_3,10,0,PNW,Gas
250,HERMISTON_3,11,0,PNW,Gas
251,HERMISTON_3,12,0,PNW,Gas
252,HERMISTON_3,13,0,PNW,Gas
253,HERMISTON_3,14,0,PNW,Gas
254,HERMISTON_3,15,0,PNW,Gas
255,HERMISTON_3,16,0,PNW,Gas
256,HERMISTON_3,17,0,PNW,Gas
257,HERMISTON_3,18,0,PNW,Gas
258,HERMISTON_3,19,0,PNW,Gas
259,HERMISTON_3,20,0,PNW,Gas
260,HERMISTON_3,21,0,PNW,Gas
261,HERMISTON_3,22,0,PNW,Gas
262,HERMISTON_3,23,0,PNW,Gas
263,HERMISTON_3,24,0,PNW,Gas
264,HERMISTON_2,1,0,PNW,Gas
265,HERMISTON_2,2,0,PNW,Gas
266,HERMISTON_2,3,0,PNW,Gas
267,HERMISTON_2,4,0,PNW,Gas
268,HERMISTON_2,5,0,PNW,Gas
269,HERMISTON_2,6,0,PNW,Gas
270,HERMISTON_2,7,0,PNW,Gas
271,HERMISTON_2,8,0,PNW,Gas
272,HERMISTON_2,9,0,PNW,Gas
273,HERMISTON_2,10,0,PNW,Gas
274,HERMISTON_2,11,0,PNW,Gas
275,HERMISTON_2,12,0,PNW,Gas
276,HERMISTON_2,13,0,PNW,Gas
277,HERMISTON_2,14,0,PNW,Gas
278,HERMISTON_2,15,0,PNW,Gas
279,HERMISTON_2,16,0,PNW,Gas
280,HERMISTON_2,17,0,PNW,Gas
281,HERMISTON_2,18,0,PNW,Gas
282,HERMISTON_2,19,0,PNW,Gas
283,HERMISTON_2,20,0,PNW,Gas
284,HERMISTON_2,21,0,PNW,Gas
285,HERMISTON_2,22,0,PNW,Gas
286,HERMISTON_2,23,0,PNW,Gas
287,HERMISTON_2,24,0,PNW,Gas
288,HERMISTON_1,1,0,PNW,Gas
289,HERMISTON_1,2,0,PNW,Gas
290,HERMISTON_1,3,0,PNW,Gas
291,HERMISTON_1,4,0,PNW,Gas
292,HERMISTON_1,5,0,PNW,Gas
293,HERMISTON_1,6,0,PNW,Gas
294,HERMISTON_1,7,0,PNW,Gas
295,HERMISTON_1,8,0,PNW,Gas
296,HERMISTON_1,9,0,PNW,Gas
297,HERMISTON_1,10,0,PNW,Gas
298,HERMISTON_1,11,0,PNW,Gas
299,HERMISTON_1,12,0,PNW,Gas
300,HERMISTON_1,13,0,PNW,Gas
301,HERMISTON_1,14,0,PNW,Gas
302,HERMISTON_1,15,0,PNW,Gas
303,HERMISTON_1,16,0,PNW,Gas
304,HERMISTON_1,17,0,PNW,Gas
305,HERMISTON_1,18,0,PNW,Gas
306,HERMISTON_1,19,0,PNW,Gas
307,HERMISTON_1,20,0,PNW,Gas
308,HERMISTON_1,21,0,PNW,Gas
309,HERMISTON_1,22,0,PNW,Gas
310,HERMISTON_1,23,0,PNW,Gas
311,HERMISTON_1,24,0,PNW,Gas
312,HERMISTON_PWR_STG1,1,0,PNW,Gas
313,HERMISTON_PWR_STG1,2,0,PNW,Gas
314,HERMISTON_PWR_STG1,3,0,PNW,Gas
315,HERMISTON_PWR_STG1,4,0,PNW,Gas
316,HERMISTON_PWR_STG1,5,0,PNW,Gas
317,HERMISTON_PWR_STG1,6,0,PNW,Gas
318,HERMISTON_PWR_STG1,7,0,PNW,Gas
319,HERMISTON_PWR_STG1,8,0,PNW,Gas
320,HERMISTON_PWR_STG1,9,0,PNW,Gas
321,HERMISTON_PWR_STG1,10,0,PNW,Gas
322,HERMISTON_PWR_STG1,11,0,PNW,Gas
323,HERMISTON_PWR_STG1,12,0,PNW,Gas
324,HERMISTON_PWR_STG1,13,0,PNW,Gas
325,HERMISTON_PWR_STG1,14,0,PNW,Gas
326,HERMISTON_PWR_STG1,15,0,PNW,Gas
327,HERMISTON_PWR_STG1,16,0,PNW,Gas
328,HERMISTON_PWR_STG1,17,0,PNW,Gas
329,HERMISTON_PWR_STG1,18,0,PNW,Gas
330,HERMISTON_PWR_STG1,19,0,PNW,Gas
331,HERMISTON_PWR_STG1,20,0,PNW,Gas
332,HERMISTON_PWR_STG1,21,0,PNW,Gas
333,HERMISTON_PWR_STG1,22,0,PNW,Gas
334,HERMISTON_PWR_STG1,23,0,PNW,Gas
335,HERMISTON_PWR_STG1,24,0,PNW,Gas
336,GRAND_COULEE_PS,1,0,PNW,PSH
337,GRAND_COULEE_PS,2,0,PNW,PSH
338,GRAND_COULEE_PS,3,0,PNW,PSH
339,GRAND_COULEE_PS,4,0,PNW,PSH
340,GRAND_COULEE_PS,5,0,PNW,PSH
341,GRAND_COULEE_PS,6,0,PNW,PSH
342,GRAND_COULEE_PS,7,0,PNW,PSH
343,GRAND_COULEE_PS,8,0,PNW,PSH
344,GRAND_COULEE_PS,9,0,PNW,PSH
345,GRAND_COULEE_PS,10,0,PNW,PSH
346,GRAND_COULEE_PS,11,0,PNW,PSH
347,GRAND_COULEE_PS,12,0,PNW,PSH
348,GRAND_COULEE_PS,13,0,PNW,PSH
349,GRAND_COULEE_PS,14,0,PNW,PSH
350,GRAND_COULEE_PS,15,0,PNW,PSH
351,GRAND_COULEE_PS,16,0,PNW,PSH
352,GRAND_COULEE_PS,17,0,PNW,PSH
353,GRAND_COULEE_PS,18,0,PNW,PSH
354,GRAND_COULEE_PS,19,0,PNW,PSH
355,GRAND_COULEE_PS,20,0,PNW,PSH
356,GRAND_COULEE_PS,21,0,PNW,PSH
357,GRAND_COULEE_PS,22,0,PNW,PSH
358,GRAND_COULEE_PS,23,0,PNW,PSH
359,GRAND_COULEE_PS,24,0,PNW,PSH
360,FREDERICKSON_PWR_FICT,1,0,PNW,Gas
361,FREDERICKSON_PWR_FICT,2,0,PNW,Gas
362,FREDERICKSON_PWR_FICT,3,0,PNW,Gas
363,FREDERICKSON_PWR_FICT,4,0,PNW,Gas
364,FREDERICKSON_PWR_FICT,5,0,PNW,Gas
365,FREDERICKSON_PWR_FICT,6,0,PNW,Gas
366,FREDERICKSON_PWR_FICT,7,0,PNW,Gas
367,FREDERICKSON_PWR_FICT,8,0,PNW,Gas
368,FREDERICKSON_PWR_FICT,9,0,PNW,Gas
369,FREDERICKSON_PWR_FICT,10,0,PNW,Gas
370,FREDERICKSON_PWR_FICT,11,0,PNW,Gas
371,FREDERICKSON_PWR_FICT,12,0,PNW,Gas
372,FREDERICKSON_PWR_FICT,13,0,PNW,Gas
373,FREDERICKSON_PWR_FICT,14,0,PNW,Gas
374,FREDERICKSON_PWR_FICT,15,0,PNW,Gas
375,FREDERICKSON_PWR_FICT,16,0,PNW,Gas
376,FREDERICKSON_PWR_FICT,17,0,PNW,Gas
377,FREDERICKSON_PWR_FICT,18,0,PNW,Gas
378,FREDERICKSON_PWR_FICT,19,0,PNW,Gas
379,FREDERICKSON_PWR_FICT,20,0,PNW,Gas
380,FREDERICKSON_PWR_FICT,21,0,PNW,Gas
381,FREDERICKSON_PWR_FICT,22,0,PNW,Gas
382,FREDERICKSON_PWR_FICT,23,0,PNW,Gas
383,FREDERICKSON_PWR_FICT,24,0,PNW,Gas
384,MARCH_POINT_GTG1,1,0,PNW,Gas
385,MARCH_POINT_GTG1,2,0,PNW,Gas
386,MARCH_POINT_GTG1,3,0,PNW,Gas
387,MARCH_POINT_GTG1,4,0,PNW,Gas
