Year,Month,Day,Hour,PNW
2011,1,8,20,2405.714931
2011,1,8,21,2082.78332
2011,1,8,22,1729.474317
2011,1,8,23,1803.04729
2011,1,9,0,2131.456546
2011,1,9,1,1690.665884
2011,1,9,2,1036.638296
2011,1,9,3,1021.927689
2011,1,9,4,774.4957336
2011,1,9,5,573.2877949
2011,1,9,6,546.4608516
2011,1,9,7,479.1521492
2011,1,9,8,308.9943183
2011,1,9,9,244.8213258
2011,1,9,10,137.6637263
2011,1,9,11,132.6437311
2011,1,9,12,119.9578728
2011,1,9,13,77.35942028
2011,1,9,14,100.3999131
2011,1,9,15,160.2537066
2011,1,9,16,253.2523448
2011,1,9,17,298.8756666
2011,1,9,18,284.2518906
2011,1,9,19,247.2812668
2011,1,9,20,210.1390202
2011,1,9,21,217.6976169
2011,1,9,22,211.0328935
2011,1,9,23,212.6204139
2011,1,10,0,154.3755925
2011,1,10,1,136.6983433
2011,1,10,2,201.9368344
2011,1,10,3,215.3234881
2011,1,10,4,231.1557828
2011,1,10,5,297.7672635
2011,1,10,6,357.9571542
2011,1,10,7,336.1394815
2011,1,10,8,371.4582254
2011,1,10,9,471.686514
2011,1,10,10,619.9909162
2011,1,10,11,693.1527095
2011,1,10,12,712.152889
2011,1,10,13,833.4050878
2011,1,10,14,869.0313278
2011,1,10,15,1126.595715
2011,1,10,16,1408.870361
2011,1,10,17,1572.202565
2011,1,10,18,1426.890859
2011,1,10,19,1238.60885
2011,1,10,20,1161.042048
2011,1,10,21,1148.828152
2011,1,10,22,1123.481459
2011,1,10,23,1011.829466
2011,1,11,0,801.190897
2011,1,11,1,508.6499869
2011,1,11,2,518.5398087
2011,1,11,3,522.2368719
2011,1,11,4,434.5085146
2011,1,11,5,250.4420057
2011,1,11,6,198.0967519
2011,1,11,7,197.2171803
2011,1,11,8,207.9222125
2011,1,11,9,219.5711774
2011,1,11,10,237.26988
2011,1,11,11,272.1595645
2011,1,11,12,319.8423713
2011,1,11,13,450.2549954
2011,1,11,14,703.8505859
2011,1,11,15,764.1334396
2011,1,11,16,606.175203
2011,1,11,17,620.2304781
2011,1,11,18,499.4466629
2011,1,11,19,423.3100602
2011,1,11,20,268.197917
2011,1,11,21,240.680903
2011,1,11,22,143.8064279
2011,1,11,23,84.36534864
2011,1,12,0,48.73400325
2011,1,12,1,31.92202368
2011,1,12,2,17.46271984
2011,1,12,3,10.94101617
2011,1,12,4,9.546572931
2011,1,12,5,7.358369687
2011,1,12,6,24.34912422
2011,1,12,7,59.31747001
2011,1,12,8,157.100121
2011,1,12,9,371.4296219
2011,1,12,10,644.7047436
2011,1,12,11,932.4749139
2011,1,12,12,1023.735866
2011,1,12,13,1166.494676
2011,1,12,14,1410.536541
2011,1,12,15,1606.902749
2011,1,12,16,1574.592285
2011,1,12,17,1546.230169
2011,1,12,18,1376.003894
2011,1,12,19,1325.032146
2011,1,12,20,1244.41187
2011,1,12,21,1121.311644
2011,1,12,22,1022.591705
2011,1,12,23,762.8968297
2011,1,13,0,616.1651371
2011,1,13,1,808.6912669
2011,1,13,2,689.3269239
2011,1,13,3,890.1857411
2011,1,13,4,779.6224887
2011,1,13,5,1256.758053
2011,1,13,6,1673.567862
2011,1,13,7,1849.568057
2011,1,13,8,1936.109355
2011,1,13,9,2055.892023
2011,1,13,10,2238.574811
2011,1,13,11,2762.660215
2011,1,13,12,2415.486757
2011,1,13,13,2083.266012
2011,1,13,14,1775.834186
2011,1,13,15,1533.125983
2011,1,13,16,1809.282951
2011,1,13,17,2167.243676
2011,1,13,18,2136.555201
2011,1,13,19,2279.732348
2011,1,13,20,2679.597889
2011,1,13,21,2835.028252
2011,1,13,22,2622.111058
2011,1,13,23,2454.541892
2011,1,14,0,2389.376955
2011,1,14,1,2480.628702
2011,1,14,2,2372.859698
2011,1,14,3,2235.442682
2011,1,14,4,2085.050193
2011,1,14,5,1868.189235
2011,1,14,6,1871.779033
2011,1,14,7,1700.952587
2011,1,14,8,1574.776922
2011,1,14,9,1777.024824
2011,1,14,10,1963.590608
2011,1,14,11,2234.942117
2011,1,14,12,2282.167255
2011,1,14,13,2417.304721
2011,1,14,14,2657.862442
2011,1,14,15,2652.302542
2011,1,14,16,2850.703221
2011,1,14,17,3179.502215
2011,1,14,18,2372.634444
2011,1,14,19,1815.833257
2011,1,14,20,1736.982858
2011,1,14,21,1796.017854
2011,1,14,22,1421.259453
2011,1,14,23,1607.57138
2011,1,15,0,1806.075729
2011,1,15,1,1528.688789
2011,1,15,2,1511.941172
2011,1,15,3,1562.752533
2011,1,15,4,1444.037145
2011,1,15,5,1309.918524
2011,1,15,6,1501.179437
2011,1,15,7,1208.832113
2011,1,15,8,1217.434757
2011,1,15,9,1408.763096
2011,1,15,10,912.4700232
2011,1,15,11,675.7900999
2011,1,15,12,646.7427727
2011,1,15,13,565.6290842
2011,1,15,14,505.668025
2011,1,15,15,615.4857951
2011,1,15,16,626.3409975
2011,1,15,17,507.041014
2011,1,15,18,484.2794084
2011,1,15,19,695.6019217
2011,1,15,20,1029.81421
2011,1,15,21,1553.856699
2011,1,15,22,1915.196281
2011,1,15,23,2420.306527
2011,1,16,0,2491.382777
2011,1,16,1,2507.101675
2011,1,16,2,2356.180011
2011,1,16,3,2255.608477
2011,1,16,4,2582.079816
2011,1,16,5,2784.538686
2011,1,16,6,2471.682822
2011,1,16,7,2160.199955
2011,1,16,8,2251.135524
2011,1,16,9,2308.654527
2011,1,16,10,2065.814023
2011,1,16,11,2330.221914
2011,1,16,12,2196.659285
2011,1,16,13,2321.962519
2011,1,16,14,2562.021286
2011,1,16,15,2579.308802
2011,1,16,16,2383.879355
2011,1,16,17,2394.416361
2011,1,16,18,2423.739003
2011,1,16,19,2444.012062
2011,1,16,20,2668.338653
2011,1,16,21,2569.279537
2011,1,16,22,3013.659997
2011,1,16,23,3389.137094
2011,1,17,0,3444.81112
2011,1,17,1,3386.108616
2011,1,17,2,3288.54766
2011,1,17,3,3022.562981
2011,1,17,4,2978.058799
2011,1,17,5,3130.846862
2011,1,17,6,3322.20738
2011,1,17,7,3456.556623
2011,1,17,8,3083.274894
2011,1,17,9,3204.108764
2011,1,17,10,3084.633591
2011,1,17,11,3031.541045
2011,1,17,12,2970.754052
2011,1,17,13,2951.231846
2011,1,17,14,3189.592261
2011,1,17,15,3348.894883
2011,1,17,16,3200.257966
2011,1,17,17,3379.397439
2011,1,17,18,3341.711699
2011,1,17,19,3374.99243
2011,1,17,20,3416.707725
2011,1,17,21,3499.451831
2011,1,17,22,3417.24405
2011,1,17,23,3440.370365
2011,1,18,0,3493.369919
2011,1,18,1,3264.917205
2011,1,18,2,3064.87897
2011,1,18,3,2907.049459
2011,1,18,4,2570.387945
2011,1,18,5,2378.433896
2011,1,18,6,2288.57455
2011,1,18,7,2390.401078
2011,1,18,8,2146.101774
2011,1,18,9,1903.914575
2011,1,18,10,1262.332252
2011,1,18,11,998.3999035
2011,1,18,12,943.0205873
2011,1,18,13,794.1032454
2011,1,18,14,624.503193
2011,1,18,15,642.6238026
2011,1,18,16,733.6201603
2011,1,18,17,771.0198452
2011,1,18,18,471.9010437
2011,1,18,19,356.9560144
2011,1,18,20,225.3956599
2011,1,18,21,192.4331684
2011,1,18,22,226.5433936
2011,1,18,23,240.7881679
2011,1,19,0,143.949448
2011,1,19,1,63.11464637
2011,1,19,2,56.70020715
2011,1,19,3,77.61685571
2011,1,19,4,111.2122109
2011,1,19,5,96.66709587
2011,1,19,6,112.1275385
2011,1,19,7,216.5749113
2011,1,19,8,232.2498841
2011,1,19,9,146.6525223
2011,1,19,10,110.3439966
2011,1,19,11,86.06932735
2011,1,19,12,107.9084536
2011,1,19,13,94.56470469
2011,1,19,14,45.94511678
2011,1,19,15,19.62947018
2011,1,19,16,3.554569777
2011,1,19,17,1.287178373
2011,1,19,18,6.972216185
2011,1,19,19,10.57631567
2011,1,19,20,16.51878912
2011,1,19,21,35.07561066
2011,1,19,22,77.01617263
2011,1,19,23,123.1400643
2011,1,20,0,207.7934966
2011,1,20,1,296.909143
2011,1,20,2,380.0823231
2011,1,20,3,543.7470519
2011,1,20,4,889.4617098
2011,1,20,5,941.4637148
2011,1,20,6,1199.918406
2011,1,20,7,1510.321462
2011,1,20,8,1488.943583
2011,1,20,9,1713.899451
2011,1,20,10,1567.139669
2011,1,20,11,1985.955332
2011,1,20,12,2251.038996
2011,1,20,13,2623.269524
2011,1,20,14,2757.053845
2011,1,20,15,2703.578722
2011,1,20,16,3094.226648
2011,1,20,17,3221.362328
2011,1,20,18,3093.840484
2011,1,20,19,2972.931534
2011,1,20,20,2933.286429
2011,1,20,21,2875.38485
2011,1,20,22,2369.806211
2011,1,20,23,2241.213524
2011,1,21,0,2187.666909
2011,1,21,1,2111.884283
2011,1,21,2,2042.001223
2011,1,21,3,1992.498488
2011,1,21,4,1965.170984
2011,1,21,5,1916.399436
2011,1,21,6,2015.850044
2011,1,21,7,1924.782174
2011,1,21,8,1843.539777
2011,1,21,9,1804.012674
2011,1,21,10,2040.070456
2011,1,21,11,2211.619159
2011,1,21,12,2529.841827
2011,1,21,13,2838.174679
2011,1,21,14,3147.837606
2011,1,21,15,3164.377869
2011,1,21,16,3470.715585
2011,1,21,17,3376.998278
2011,1,21,18,3302.256115
2011,1,21,19,3331.453606
2011,1,21,20,3287.475012
2011,1,21,21,3418.370331
2011,1,21,22,3072.391072
2011,1,21,23,3075.78424
2011,1,22,0,3037.215372
2011,1,22,1,2956.048028
2011,1,22,2,2788.886474
2011,1,22,3,2938.714042
2011,1,22,4,2889.929976
2011,1,22,5,2619.708335
2011,1,22,6,1453.921604
2011,1,22,7,1016.227325
2011,1,22,8,945.8830285
2011,1,22,9,835.9687206
2011,1,22,10,597.7870893
2011,1,22,11,363.4634184
2011,1,22,12,317.4086524
2011,1,22,13,155.9202075
2011,1,22,14,104.3687131
2011,1,22,15,142.3190232
2011,1,22,16,209.6384503
2011,1,22,17,272.8103062
2011,1,22,18,308.2792203
2011,1,22,19,350.1554227
2011,1,22,20,425.9916851
2011,1,22,21,588.5837652
2011,1,22,22,860.6503699
2011,1,22,23,1050.695099
2011,1,23,0,1300.637566
2011,1,23,1,1569.020378
2011,1,23,2,1819.898585
2011,1,23,3,1845.313221
2011,1,23,4,1742.224524
2011,1,23,5,1663.388437
2011,1,23,6,1571.019077
2011,1,23,7,1293.936059
2011,1,23,8,1226.680989
2011,1,23,9,1595.55873
2011,1,23,10,1463.264371
2011,1,23,11,1601.228448
2011,1,23,12,1885.541631
2011,1,23,13,2169.15606
2011,1,23,14,2098.187573
2011,1,23,15,2112.427259
2011,1,23,16,2153.71758
2011,1,23,17,2232.610887
2011,1,23,18,1942.802685
2011,1,23,19,1802.350069
2011,1,23,20,1647.781399
2011,1,23,21,1370.137021
2011,1,23,22,1143.550719
2011,1,23,23,912.6738225
2011,1,24,0,1044.094736
2011,1,24,1,1086.700341
2011,1,24,2,837.2380193
2011,1,24,3,700.1177699
2011,1,24,4,769.6146781
2011,1,24,5,877.6411204
2011,1,24,6,735.0217528
2011,1,24,7,692.1158136
2011,1,24,8,407.9640353
2011,1,24,9,374.139847
2011,1,24,10,288.7355623
2011,1,24,11,181.2990735
2011,1,24,12,161.4336209
2011,1,24,13,317.9688125
2011,1,24,14,414.7503253
2011,1,24,15,901.4539203
2011,1,24,16,1218.590152
2011,1,24,17,1359.503488
2011,1,24,18,2117.354791
2011,1,24,19,2315.633892
2011,1,24,20,2417.556961
2011,1,24,21,2324.000552
2011,1,24,22,2296.040182
2011,1,24,23,2107.704527
2011,1,25,0,2159.660056
2011,1,25,1,2344.402324
2011,1,25,2,2203.166682
2011,1,25,3,2083.190931
2011,1,25,4,1921.551986
2011,1,25,5,1824.353677
2011,1,25,6,1881.103927
2011,1,25,7,1698.127941
2011,1,25,8,1223.656119
2011,1,25,9,820.5690568
2011,1,25,10,701.2547748
2011,1,25,11,476.4184272
2011,1,25,12,362.6839592
2011,1,25,13,236.0899665
2011,1,25,14,117.7124623
2011,1,25,15,100.7431603
2011,1,25,16,91.58274032
2011,1,25,17,4.505124304
2011,1,25,18,6.972216185
2011,1,25,19,5.577772948
2011,1,25,20,7.401275643
2011,1,25,21,8.581189151
2011,1,25,22,35.18287552
2011,1,25,23,60.60464838
2011,1,26,0,20.91664856
2011,1,26,1,25.42177286
2011,1,26,2,39.4734701
2011,1,26,3,52.98884301
2011,1,26,4,54.49055111
2011,1,26,5,73.58369697
2011,1,26,6,80.44864829
2011,1,26,7,85.59736178
2011,1,26,8,107.2434117
2011,1,26,9,123.4761615
2011,1,26,10,166.6895993
2011,1,26,11,161.5194331
2011,1,26,12,135.6256947
2011,1,26,13,143.198594
2011,1,26,14,127.5379238
2011,1,26,15,174.1981398
2011,1,26,16,205.2405909
2011,1,26,17,182.3288168
2011,1,26,18,150.7071345
2011,1,26,19,120.4584427
2011,1,26,20,139.7661183
2011,1,26,21,136.9414766
2011,1,26,22,117.7768211
2011,1,26,23,101.258032
2011,1,27,0,86.47693334
2011,1,27,1,145.9874804
2011,1,27,2,127.6451886
2011,1,27,3,106.1922157
2011,1,27,4,89.4588969
2011,1,27,5,73.58369697
2011,1,27,6,92.54812532
2011,1,27,7,100.7860664
2011,1,27,8,130.54134
2011,1,27,9,115.9533184
2011,1,27,10,120.8517469
2011,1,27,11,157.1430263
2011,1,27,12,168.4058371
2011,1,27,13,167.0113939
2011,1,27,14,124.4272427
2011,1,27,15,149.2054264
2011,1,27,16,245.2718396
2011,1,27,17,290.2372704
2011,1,27,18,348.589355
2011,1,27,19,383.8365917
2011,1,27,20,305.1685392
2011,1,27,21,385.1237685
2011,1,27,22,379.6461111
2011,1,27,23,327.6941607
2011,1,28,0,382.2276171
2011,1,28,1,242.5973688
2011,1,28,2,296.9091446
2011,1,28,3,262.4771232
2011,1,28,4,340.0153167
2011,1,28,5,372.6381389
2011,1,28,6,399.2827306
2011,1,28,7,464.428256
2011,1,28,8,995.4756396
2011,1,28,9,1258.467142
2011,1,28,10,1581.697038
2011,1,28,11,1406.47835
2011,1,28,12,1575.667225
2011,1,28,13,1820.762334
2011,1,28,14,1908.885527
2011,1,28,15,2161.560171
2011,1,28,16,2080.366286
2011,1,28,17,1902.97881
2011,1,28,18,1760.202113
2011,1,28,19,1572.856878
2011,1,28,20,1173.309059
2011,1,28,21,998.0781089
2011,1,28,22,808.8843424
2011,1,28,23,687.2459862
2011,1,29,0,807.8653262
2011,1,29,1,982.9323153
2011,1,29,2,1133.993422
2011,1,29,3,1026.932357
2011,1,29,4,1052.954817
2011,1,29,5,1054.606692
2011,1,29,6,885.1639594
2011,1,29,7,711.3805806
2011,1,29,8,548.6352631
2011,1,29,9,592.3380354
2011,1,29,10,629.7540648
2011,1,29,11,466.6236144
2011,1,29,12,672.8438941
2011,1,29,13,774.869118
2011,1,29,14,741.3100311
2011,1,29,15,496.4003381
2011,1,29,16,427.3432197
2011,1,29,17,396.4509388
2011,1,29,18,441.0087628
2011,1,29,19,410.1593871
2011,1,29,20,369.4130437
2011,1,29,21,322.8457892
2011,1,29,22,360.2597709
2011,1,29,23,275.0271123
2011,1,30,0,239.43663
2011,1,30,1,145.4511561
2011,1,30,2,104.4974306
2011,1,30,3,74.18438005
2011,1,30,4,128.9109144
2011,1,30,5,174.0050627
2011,1,30,6,158.9951326
2011,1,30,7,149.9133743
2011,1,30,8,172.6964317
2011,1,30,9,355.90482
2011,1,30,10,474.8973107
2011,1,30,11,550.3852111
2011,1,30,12,513.2623761
2011,1,30,13,487.2123371
2011,1,30,14,541.0868813
2011,1,30,15,392.4034775
2011,1,30,16,263.3352421
2011,1,30,17,186.5121465
2011,1,30,18,130.2195454
2011,1,30,19,106.0849509
2011,1,30,20,160.0606311
2011,1,30,21,147.0172238
2011,1,30,22,186.2118046
2011,1,30,23,200.4351263
2011,1,31,0,116.65054
2011,1,31,1,111.8558009
2011,1,31,2,109.553181
2011,1,31,3,110.3040358
2011,1,31,4,85.70462665
2011,1,31,5,127.8239631
2011,1,31,6,174.1802626
2011,1,31,7,265.6950691
2011,1,31,8,267.5829314
2011,1,31,9,291.7103733
2011,1,31,10,253.2308922
2011,1,31,11,352.1612769
2011,1,31,12,395.1208551
2011,1,31,13,411.1998576
2011,1,31,14,439.8503003
2011,1,31,15,619.0791648
2011,1,31,16,621.7929646
2011,1,31,17,557.7772948
2011,1,31,18,493.150214
2011,1,31,19,376.8000143
2011,1,31,20,371.2866042
2011,1,31,21,357.1919984
2011,1,31,22,314.6292999
2011,1,31,23,374.6761713
2011,2,1,0,397.4163226
2011,2,1,1,345.3428088
2011,2,1,2,334.7521875
2011,2,1,3,307.3138365
2011,2,1,4,251.553985
2011,2,1,5,236.3044963
2011,2,1,6,237.26988
2011,2,1,7,247.567307
2011,2,1,8,145.8802156
2011,2,1,9,64.85948814
2011,2,1,10,54.27602138
2011,2,1,11,59.61781155
2011,2,1,12,117.1975907
2011,2,1,13,222.3243095
2011,2,1,14,420.0778125
2011,2,1,15,422.6164165
2011,2,1,16,250.7638003
2011,2,1,17,250.4634584
2011,2,1,18,331.705866
2011,2,1,19,431.1833006
2011,2,1,20,338.6351769
2011,2,1,21,221.8666449
2011,2,1,22,158.3086373
2011,2,1,23,94.58615775
2011,2,2,0,57.60123218
2011,2,2,1,38.61535118
2011,2,2,2,44.08585926
2011,2,2,3,56.52858353
2011,2,2,4,47.96884744
2011,2,2,5,69.18583753
2011,2,2,6,61.16242576
2011,2,2,7,37.00637821
2011,2,2,8,25.74356745
2011,2,2,9,10.10435021
2011,2,2,10,0.858118915
2011,2,2,11,10.57631567
2011,2,2,12,22.93322792
2011,2,2,13,16.8906407
2011,2,2,14,9.138966426
2011,2,2,15,12.01366481
2011,2,2,16,23.27647557
2011,2,2,17,16.99075448
2011,2,2,18,8.259394558
2011,2,2,19,12.54998913
2011,2,2,20,7.615805372
2011,2,2,21,2.467091881
2011,2,2,22,1.608972966
2011,2,2,23,23.94151781
2011,2,3,0,2.145297288
2011,2,3,1,0
2011,2,3,2,0.321794593
2011,2,3,3,5.041448626
2011,2,3,4,5.899567541
2011,2,3,5,8.259394558
2011,2,3,6,11.26281076
2011,2,3,7,9.868367524
2011,2,3,8,35.71919984
2011,2,3,9,109.0883671
2011,2,3,10,105.6487405
2011,2,3,11,41.89765587
2011,2,3,12,54.08294471
2011,2,3,13,137.2724655
2011,2,3,14,204.7614752
2011,2,3,15,295.1469376
2011,2,3,16,499.9567668
2011,2,3,17,697.483823
2011,2,3,18,862.6311952
2011,2,3,19,1209.20754
2011,2,3,20,1314.509465
2011,2,3,21,1201.370056
2011,2,3,22,1142.038287
2011,2,3,23,1020.094988
2011,2,4,0,924.4228998
2011,2,4,1,1178.787227
2011,2,4,2,1394.797216
2011,2,4,3,1798.005842
2011,2,4,4,1960.072315
2011,2,4,5,2056.589245
2011,2,4,6,2572.976614
2011,2,4,7,2472.169089
2011,2,4,8,2580.64706
2011,2,4,9,2796.001701
2011,2,4,10,2708.216121
2011,2,4,11,3188.501726
2011,2,4,12,3432.625821
2011,2,4,13,3343.60672
2011,2,4,14,3185.49831
2011,2,4,15,3385.70818
2011,2,4,16,3499.097852
2011,2,4,17,3465.144961
2011,2,4,18,3617.300171
2011,2,4,19,3632.310103
2011,2,4,20,3623.553718
2011,2,4,21,3537.917022
2011,2,4,22,3538.775141
2011,2,4,23,3538.363968
2011,2,5,0,3523.56854
2011,2,5,1,3641.305032
2011,2,5,2,3523.811693
2011,2,5,3,3448.651207
2011,2,5,4,3402.870558
2011,2,5,5,3110.949229
2011,2,5,6,3094.162278
2011,2,5,7,3040.315316
2011,2,5,8,2997.909949
2011,2,5,9,2913.685582
2011,2,5,10,2598.398387
2011,2,5,11,2560.701936
2011,2,5,12,2739.812799
2011,2,5,13,2793.112699
2011,2,5,14,2857.918564
2011,2,5,15,2790.506184
2011,2,5,16,2862.577436
2011,2,5,17,2788.71484
2011,2,5,18,2679.937557
2011,2,5,19,2461.18159
2011,2,5,20,1994.214726
2011,2,5,21,1619.949741
2011,2,5,22,1058.664878
2011,2,5,23,814.3619997
2011,2,6,0,712.4818263
2011,2,6,1,684.9022482
2011,2,6,2,661.4523609
2011,2,6,3,629.2514506
2011,2,6,4,675.3896407
2011,2,6,5,622.3987584
2011,2,6,6,531.8191976
2011,2,6,7,442.1779492
2011,2,6,8,349.1471336
2011,2,6,9,271.2835692
2011,2,6,10,280.6763957
2011,2,6,11,338.6995348
2011,2,6,12,539.5458425
2011,2,6,13,810.3109638
2011,2,6,14,1295.723809
2011,2,6,15,1731.694708
2011,2,6,16,2380.650712
2011,2,6,17,2724.398843
2011,2,6,18,3078.887746
2011,2,6,19,3245.16976
2011,2,6,20,3218.374991
2011,2,6,21,3512.023268
2011,2,6,22,3317.101562
2011,2,6,23,3244.386721
2011,2,7,0,3273.10152
2011,2,7,1,3196.521582
2011,2,7,2,3466.371358
2011,2,7,3,3375.049624
2011,2,7,4,3297.075217
2011,2,7,5,3543.687877
2011,2,7,6,3630.175543
2011,2,7,7,3495.075446
2011,2,7,8,3515.60593
2011,2,7,9,3373.390606
2011,2,7,10,3229.466168
2011,2,7,11,3326.658872
2011,2,7,12,3515.45577
2011,2,7,13,3771.057205
2011,2,7,14,3602.115044
2011,2,7,15,3412.29198
2011,2,7,16,3323.151316
2011,2,7,17,3409.950039
2011,2,7,18,3399.366564
2011,2,7,19,3371.38832
2011,2,7,20,3148.22377
2011,2,7,21,2921.977135
2011,2,7,22,2720.576642
2011,2,7,23,2548.59173
2011,2,8,0,2455.43577
2011,2,8,1,2256.486263
2011,2,8,2,1854.71677
2011,2,8,3,1439.430124
2011,2,8,4,1023.142334
2011,2,8,5,640.3283351
2011,2,8,6,486.3388951
2011,2,8,7,292.0822257
2011,2,8,8,192.16858
2011,2,8,9,111.0191346
2011,2,8,10,139.229794
2011,2,8,11,206.1916745
2011,2,8,12,220.1075017
2011,2,8,13,288.438795
2011,2,8,14,263.6034042
2011,2,8,15,224.255077
