name,typ,fuel,class,zone,netcap (nameplate),seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,avg heat rate,,,year online
BOULDER PARK_2,IC,NG,ct,PNW,4.1,7.269111935,7.334136697,7.399161459,1.435,4.1,1,1,3.17,1.727486046,287,9.18,,,2002
BOULDER PARK_3,IC,NG,ct,PNW,4.1,7.269111935,7.334136697,7.399161459,1.435,4.1,1,1,3.17,1.727486046,287,9.18,,,2002
BOULDER PARK_4,IC,NG,ct,PNW,4.1,7.269111935,7.334136697,7.399161459,1.435,4.1,1,1,3.17,1.727486046,287,9.18,,,2002
BOULDER PARK_5,IC,NG,ct,PNW,4.1,7.269111935,7.334136697,7.399161459,1.435,4.1,1,1,3.17,1.727486046,287,9.18,,,2002
BOULDER PARK_6,IC,NG,ct,PNW,4.1,7.269111935,7.334136697,7.399161459,1.435,4.1,1,1,3.17,1.727486046,287,9.18,,,2002
TRANSALTA CENTRALIA_1,ST,coal,coal,PNW,729.9,8.359199203,8.974120465,9.589041727,255.465,547.425,10,10,4.6,100.6453125,51093,10.1,mixed fuel type,,1972
TRANSALTA CENTRALIA_2,ST,coal,coal,PNW,729.9,8.359199203,8.974120465,9.589041727,255.465,547.425,10,10,4.6,100.6453125,51093,10.1,NG gen retired 2013??,,1973
CHEHALIS_CA,CA,NG,cc,PNW,230,6.321681446,6.582627186,6.843572926,92,230,2,2,2,105.7170114,16100,7.71,,,2003
CHEHALIS_CT1,CT,NG,cc,PNW,234,6.321681446,6.582627186,6.843572926,93.6,234,2,2,2,107.5555681,16380,7.71,,,2003
CHEHALIS_CT2,CT,NG,cc,PNW,234,6.321681446,6.582627186,6.843572926,93.6,234,2,2,2,107.5555681,16380,7.71,,,2003
CRYSTAL MOUNTAIN_1,IC,oil,ct,PNW,2.7,8.799111935,8.864136697,8.929161459,0.945,2.7,1,1,3.17,1.137612762,189,10.71,,,1969
ENCOGEN_CTG1,CT,ng,cc,PNW,39.4,7.641681446,7.902627186,8.163572926,15.76,39.4,3,3,2,18.10978369,2758,9.03,,,1993
ENCOGEN_CTG2,CT,ng,cc,PNW,39.4,7.641681446,7.902627186,8.163572926,15.76,39.4,3,3,2,18.10978369,2758,9.03,,,1993
ENCOGEN_CTG3,CT,ng,cc,PNW,39.4,7.641681446,7.902627186,8.163572926,15.76,39.4,3,3,2,18.10978369,2758,9.03,,,1993
ENCOGEN_STG,CA,ng,cc,PNW,58.2,7.641681446,7.902627186,8.163572926,23.28,58.2,3,3,2,26.75100028,4074,9.03,,,1993
FERNDALE_CT1A,CT,ng,cc,PNW,95.9,6.091681446,6.352627186,6.613572926,38.36,95.9,3,3,2,44.07939736,6713,7.48,,,1994
FERNDALE_CT1B,CT,ng,cc,PNW,95.9,6.091681446,6.352627186,6.613572926,38.36,95.9,3,3,2,44.07939736,6713,7.48,,,1994
FERNDALE_ST1,CA,ng,cc,PNW,93.7,6.091681446,6.352627186,6.613572926,37.48,93.7,3,3,2,43.06819117,6559,7.48,,,1994
FREDERICKSON_1,GT,ng,ct,PNW,88.9,25.65911193,25.7241367,25.78916146,31.115,88.9,1,1,3.17,37.45695353,6223,27.57,,,1981
FREDERICKSON_2,GT,ng,ct,PNW,88.9,25.65911193,25.7241367,25.78916146,31.115,88.9,1,1,3.17,37.45695353,6223,27.57,,,1981
FREDERICKSON_PWR_FICT,CT,ng,cc,PNW,192,5.921681446,6.182627186,6.443572926,76.8,192,2,2,2,88.25072256,13440,7.31,,,2002
FREDERICKSON_PWR_FIST,CA,ng,cc,PNW,126.3,5.921681446,6.182627186,6.443572926,50.52,126.3,2,2,2,58.05242843,8841,7.31,,,2002
FREDONIA_1,GT,ng,ct,PNW,129.1,3.899111935,3.964136697,4.029161459,45.185,129.1,1,1,3.17,54.39474355,9037,5.81,,,1984
FREDONIA_2,GT,ng,ct,PNW,129.1,3.899111935,3.964136697,4.029161459,45.185,129.1,1,1,3.17,54.39474355,9037,5.81,,,1984
FREDONIA_3,GT,ng,ct,PNW,58.9,3.899111935,3.964136697,4.029161459,20.615,58.9,1,1,3.17,24.81681173,4123,5.81,,,2001
FREDONIA_4,GT,ng,ct,PNW,58.9,3.899111935,3.964136697,4.029161459,20.615,58.9,1,1,3.17,24.81681173,4123,5.81,,,2001
